Feature,Importance
PAY_0,0.4545320142464363
BILL_AMT1,0.2208743894593969
LIMIT_BAL,0.10321626557503505
MARRIAGE,0.07180752755694543
PAY_3,0.06890450211008037
EDUCATION,0.06856758068154672
PAY_2,0.06613043108700233
AGE,0.06202848047592784
SEX,0.05619565435852994
BILL_AMT2,0.04837864363580408
PAY_4,0.046804546042920794
PAY_AMT1,0.042497723741308585
PAY_AMT2,0.03382288357238715
BILL_AMT3,0.03218752777057006
BILL_AMT4,0.028596223788044633
PAY_AMT4,0.01845792547731367
BILL_AMT5,0.01705734751641109
PAY_6,0.0131039905376349
PAY_AMT6,0.008974567069523211
PAY_AMT5,0.007940033333697107
PAY_AMT3,0.005514026530103622
BILL_AMT6,0.0015662085998620699
PAY_5,0.0003739584654911237
